waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1259;0,1251;0,1250;0,1282;0,1296;0,1266;0,1239;0,1191;0,1210;0,1235;0,1249;0,1223;
dolar amerykañski;USD;1;3,8287;3,9201;4,0126;4,1856;4,1569;3,9453;3,8943;3,7190;3,7926;3,8605;3,8035;3,6778;
dolar australijski;AUD;1;2,6304;2,6127;2,5019;2,6324;2,7114;2,7225;2,7318;2,6781;2,7443;2,7518;2,7655;2,7691;
dolar Hongkongu;HKD;1;0,4925;0,5042;0,5168;0,5400;0,5362;0,5091;0,5024;0,4799;0,4894;0,4981;0,4906;0,4744;
dolar kanadyjski;CAD;1;2,9282;2,9513;2,8880;2,9769;2,9779;2,9109;2,8805;2,8083;2,8711;2,9220;2,9074;2,8697;
dolar nowozelandzki;NZD;1;2,5327;2,5054;2,4323;2,5116;2,5328;2,5437;2,5613;2,4560;2,5326;2,5621;2,6096;2,6076;
dolar singapurski;SGD;1;2,8346;2,8221;2,8328;2,9402;2,9325;2,8322;2,8042;2,7165;2,7776;2,8398;2,8237;2,7603;
euro;EUR;1;4,2504;4,2789;4,4356;4,5450;4,5291;4,4450;4,4528;4,4021;4,4740;4,5411;4,5023;4,4766;
forint (Wêgry);HUF;100;1,2726;1,2681;1,2856;1,2771;1,2904;1,2790;1,2679;1,2618;1,2415;1,2528;1,2506;1,2469;
frank szwajcarski;CHF;1;3,9451;4,0166;4,1892;4,3107;4,2838;4,1474;4,1611;4,0882;4,1487;4,2282;4,1783;4,1383;
funt szterling;GBP;1;5,0033;5,0868;4,9706;5,1922;5,1125;4,9434;4,9211;4,8886;4,9179;5,0111;5,0223;4,9424;
hrywna (Ukraina);UAH;1;0,1585;0,1595;0,1513;0,1540;0,1551;0,1478;0,1425;0,1352;0,1354;0,1363;0,1344;0,1306;
jen (Japonia);JPY;100;3,5031;3,5640;3,7293;3,8809;3,8809;3,6671;3,6459;3,5120;3,5924;3,6710;3,6467;3,5434;
korona czeska;CZK;1;0,1685;0,1707;0,1675;0,1668;0,1661;0,1667;0,1678;0,1682;0,1675;0,1669;0,1699;0,1701;
korona duñska;DKK;1;0,5688;0,5727;0,5938;0,6091;0,6073;0,5963;0,5980;0,5912;0,6012;0,6102;0,6046;0,6016;
korona islandzka;ISK;100;3,1011;3,0997;2,9828;2,8978;2,8882;2,9162;2,8132;2,7265;2,7543;2,7773;2,7798;2,8851;
korona norweska;NOK;1;0,4284;0,4218;0,3952;0,4013;0,4109;0,4147;0,4176;0,4156;0,4155;0,4154;0,4181;0,4223;
korona szwedzka;SEK;1;0,4029;0,4046;0,4086;0,4177;0,4270;0,4241;0,4298;0,4271;0,4290;0,4367;0,4397;0,4399;
kuna (Chorwacja);HRK;1;0,5711;0,5741;0,5862;0,5983;0,5979;0,5875;0,5913;0,5865;0,5933;0,5997;0,5954;0,5936;
lej rumuñski;RON;1;0,8893;0,8946;0,9186;0,9397;0,9361;0,9184;0,9203;0,9100;0,9206;0,9315;0,9243;0,9190;
lew (Bu³garia);BGN;1;2,1732;2,1878;2,2679;2,3238;2,3157;2,2727;2,2767;2,2507;2,2875;2,3218;2,3020;2,2889;
lira turecka;TRY;1;0,6462;0,6463;0,6336;0,6117;0,5997;0,5784;0,5674;0,5115;0,5029;0,4857;0,4777;0,4763;
nowy izraelski szekel;ILS;1;1,1064;1,1413;1,1182;1,1724;1,1816;1,1419;1,1341;1,0935;1,1079;1,1368;1,1322;1,1331;
peso chilijskie;CLP;100;0,4968;0,4920;0,4779;0,4904;0,5061;0,4959;0,4958;0,4747;0,4905;0,4895;0,4988;0,5025;
peso filipiñskie;PHP;1;0,0753;0,0772;0,0786;0,0826;0,0822;0,0789;0,0788;0,0763;0,0782;0,0796;0,0788;0,0765;
peso meksykañskie;MXN;1;0,2034;0,2080;0,1815;0,1728;0,1772;0,1771;0,1734;0,1676;0,1756;0,1810;0,1861;0,1842;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2664;0,2608;0,2416;0,2255;0,2296;0,2306;0,2320;0,2157;0,2273;0,2345;0,2445;0,2469;
real (Brazylia);BRL;1;0,9271;0,9034;0,8269;0,7906;0,7408;0,7611;0,7351;0,6852;0,7050;0,6863;0,6980;0,7150;
ringgit (Malezja);MYR;1;0,9389;0,9427;0,9340;0,9620;0,9579;0,9229;0,9127;0,8877;0,9140;0,9296;0,9252;0,9069;
rubel rosyjski;RUB;1;0,0619;0,0611;0,0543;0,0558;0,0572;0,0570;0,0546;0,0504;0,0500;0,0497;0,0494;0,0496;
rupia indonezyjska;IDR;10000;2,7906;2,8479;2,6398;2,6618;2,8033;2,7956;2,6786;2,5323;2,5612;2,6259;2,6779;2,6038;
rupia indyjska;INR;100;5,3709;5,4778;5,3912;5,4937;5,4950;5,2100;5,1966;4,9864;5,1603;5,2496;5,1231;4,9951;
won po³udniowokoreañski;KRW;100;0,3284;0,3278;0,3292;0,3423;0,3385;0,3269;0,3246;0,3134;0,3222;0,3374;0,3409;0,3359;
yuan renminbi (Chiny);CNY;1;0,5527;0,5604;0,5715;0,5919;0,5850;0,5568;0,5551;0,5367;0,5568;0,5745;0,5759;0,5624;
SDR (MFW);XDR;1;5,2769;5,3689;5,5036;5,7034;5,6717;5,4503;5,4147;5,2564;5,3552;5,4543;5,4105;5,2980;
