waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
³at ³otewski;LVL;1;6,2621;5,9871;5,9297;5,9694;6,1424;6,1806;6,0172;5,8757;5,9337;5,9026;5,9400;5,8775;
lit litewski;LTL;1;1,2678;1,2118;1,1981;1,2093;1,2420;1,2474;1,2134;1,1849;1,1965;1,1901;1,1977;1,1856;
bat (Tajlandia);THB;1;0,1075;0,1030;0,1021;0,1028;0,1070;0,1087;0,1077;0,1051;0,1038;0,1033;0,1050;0,1019;
dolar amerykañski;USD;1;3,3884;3,1608;3,1320;3,1727;3,3472;3,4399;3,4061;3,3021;3,2154;3,1672;3,2237;3,1230;
dolar australijski;AUD;1;3,5222;3,3918;3,3016;3,2824;3,3406;3,4235;3,5065;3,4584;3,3461;3,2617;3,3524;3,2663;
dolar Hongkongu;HKD;1;0,4364;0,4076;0,4035;0,4087;0,4312;0,4434;0,4392;0,4257;0,4147;0,4086;0,4160;0,4030;
dolar kanadyjski;CAD;1;3,3429;3,1689;3,1515;3,1953;3,3161;3,3431;3,3579;3,3235;3,2852;3,2119;3,2327;3,1539;
dolar nowozelandzki;NZD;1;2,7070;2,6384;2,5705;2,5953;2,5930;2,6747;2,7201;2,6768;2,6323;2,5977;2,6400;2,5923;
dolar singapurski;SGD;1;2,6466;2,5208;2,4883;2,5355;2,6527;2,6884;2,7000;2,6452;2,6098;2,5877;2,6341;2,5583;
euro;EUR;1;4,3775;4,1840;4,1370;4,1756;4,2884;4,3072;4,1896;4,0912;4,1314;4,1091;4,1354;4,0938;
forint (Wêgry);HUF;100;1,4227;1,4398;1,4158;1,4159;1,4619;1,4639;1,4625;1,4682;1,4551;1,4581;1,4640;1,4330;
frank szwajcarski;CHF;1;3,6135;3,4660;3,4300;3,4736;3,5700;3,5865;3,4884;3,4064;3,4168;3,3965;3,4310;3,3871;
funt szterling;GBP;1;5,2573;4,9988;4,9564;5,0779;5,3300;5,3382;5,3081;5,1839;5,1781;5,0948;5,1467;5,0388;
hrywna (Ukraina);UAH;1;0,4215;0,3939;0,3906;0,3955;0,4157;0,4257;0,4213;0,4075;0,3961;0,3883;0,3939;0,3847;
jen (Japonia);JPY;100;4,4042;4,0317;3,8004;3,8963;4,1977;4,3428;4,3128;4,1983;4,1127;4,0108;3,9856;3,7325;
korona czeska;CZK;1;0,1715;0,1671;0,1675;0,1685;0,1697;0,1680;0,1646;0,1635;0,1670;0,1649;0,1631;0,1625;
korona duñska;DKK;1;0,5887;0,5628;0,5564;0,5613;0,5769;0,5795;0,5632;0,5495;0,5543;0,5510;0,5544;0,5488;
korona islandzka;ISK;100;2,7416;2,5651;2,4803;2,4999;2,6339;2,6933;2,7049;2,7492;2,6197;2,5531;2,5327;2,4677;
korona norweska;NOK;1;0,5698;0,5533;0,5497;0,5516;0,5661;0,5712;0,5619;0,5583;0,5591;0,5549;0,5635;0,5562;
korona szwedzka;SEK;1;0,4945;0,4741;0,4657;0,4714;0,4766;0,4849;0,4898;0,4940;0,4865;0,4770;0,4806;0,4733;
kuna chorwacka;HRK;1;0,5796;0,5518;0,5489;0,5570;0,5691;0,5712;0,5585;0,5464;0,5562;0,5470;0,5485;0,5433;
lej rumuñski;RON;1;1,0088;0,9618;0,9476;0,9542;0,9663;0,9653;0,9216;0,9046;0,9182;0,9005;0,9132;0,9133;
lew bu³garski;BGN;1;2,2382;2,1393;2,1152;2,1350;2,1927;2,2023;2,1422;2,0918;2,1124;2,1010;2,1144;2,0932;
lira turecka;TRY;1;1,8371;1,7982;1,7517;1,7756;1,8517;1,8848;1,8789;1,8383;1,7832;1,7573;1,7965;1,7465;
nowy  izraelski szekel;ILS;1;0,8899;0,8460;0,8321;0,8465;0,8747;0,8835;0,8536;0,8225;0,8150;0,8219;0,8267;0,8263;
peso  chilijskie;CLP;100;0,6765;0,6561;0,6460;0,6532;0,6740;0,6803;0,6922;0,6868;0,6779;0,6665;0,6714;0,6556;
peso filipiñskie;PHP;1;0,0778;0,0741;0,0731;0,0744;0,0780;0,0805;0,0813;0,0785;0,0770;0,0765;0,0784;0,0761;
peso meksykañskie;MXN;1;0,2522;0,2474;0,2458;0,2433;0,2460;0,2462;0,2547;0,2503;0,2483;0,2458;0,2464;0,2425;
rand (Republika Po³udniowej Afryki);ZAR;1;0,4224;0,4126;0,4119;0,4053;0,4110;0,4090;0,4131;0,3996;0,3883;0,3660;0,3663;0,3616;
real brazylijski;BRL;1;1,8895;1,8393;1,7541;1,7148;1,6930;1,6786;1,6803;1,6279;1,5847;1,5599;1,5629;1,5020;
ringgit malezyjski;MYR;1;1,0874;1,0457;1,0287;1,0369;1,0793;1,0809;1,0753;1,0590;1,0442;1,0371;1,0540;1,0222;
rubel rosyjski;RUB;1;0,1080;0,1060;0,1067;0,1076;0,1086;0,1043;0,1048;0,1033;0,1022;0,1018;0,1027;0,1016;
rupia indonezyjska;IDR;10000;3,7343;3,5109;3,4586;3,4856;3,5895;3,6231;3,5996;3,4766;3,3613;3,2954;3,3498;3,2249;
rupia  indyjska;INR;100;6,6112;6,4269;6,2207;6,1357;6,1525;6,1326;6,1415;5,9434;5,9061;5,9715;5,8808;5,7140;
won (Korea Po³udniowa);KRW;100;0,2965;0,2815;0,2781;0,2795;0,2889;0,2952;0,2982;0,2916;0,2862;0,2864;0,2963;0,2903;
