waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1160;0,1156;0,1151;0,1148;0,1104;0,1103;0,1091;0,1086;0,1080;0,1092;0,1094;0,1087;
dolar amerykañski;USD;1;4,1166;4,0487;4,0184;3,9562;3,8070;3,7504;3,6805;3,6127;3,5799;3,6303;3,6031;3,5482;
dolar australijski;AUD;1;3,0622;3,1022;3,0595;2,9831;2,8290;2,8311;2,8659;2,8601;2,8546;2,8260;2,7468;2,7150;
dolar Hongkongu;HKD;1;0,5307;0,5218;0,5174;0,5089;0,4889;0,4810;0,4713;0,4619;0,4582;0,4651;0,4617;0,4541;
dolar kanadyjski;CAD;1;3,1126;3,0908;3,0013;2,9474;2,7973;2,8153;2,8891;2,8652;2,9138;2,8843;2,8234;2,7805;
dolar nowozelandzki;NZD;1;2,9264;2,9231;2,8131;2,7573;2,6403;2,7083;2,7068;2,6407;2,5967;2,5565;2,4802;2,4719;
dolar singapurski;SGD;1;2,8786;2,8619;2,8577;2,8293;2,7279;2,7097;2,6826;2,6546;2,6525;2,6676;2,6570;2,6357;
euro;EUR;1;4,3706;4,3097;4,2921;4,2385;4,2040;4,2083;4,2361;4,2665;4,2702;4,2668;4,2293;4,2016;
forint (Wêgry);HUF;100;1,4137;1,3970;1,3851;1,3605;1,3566;1,3652;1,3807;1,4020;1,3853;1,3766;1,3562;1,3420;
frank szwajcarski;CHF;1;4,0792;4,0424;4,0088;3,9534;3,8580;3,8708;3,8291;3,7471;3,7220;3,6968;3,6328;3,5938;
funt szterling;GBP;1;5,0752;5,0549;4,9556;4,9945;4,9189;4,7972;4,7797;4,6854;4,7619;4,7887;4,7607;4,7628;
hrywna (Ukraina);UAH;1;0,1516;0,1496;0,1489;0,1474;0,1441;0,1437;0,1418;0,1409;0,1369;0,1362;0,1349;0,1288;
jen (Japonia);JPY;100;3,5726;3,5818;3,5528;3,5901;3,3928;3,3802;3,2723;3,2925;3,2370;3,2137;3,1935;3,1424;
korona czeska;CZK;1;0,1617;0,1595;0,1588;0,1579;0,1580;0,1602;0,1623;0,1634;0,1637;0,1655;0,1656;0,1639;
korona duñska;DKK;1;0,5878;0,5797;0,5773;0,5699;0,5651;0,5658;0,5696;0,5736;0,5739;0,5733;0,5683;0,5645;
korona islandzka;ISK;100;3,6050;3,6327;3,6762;3,5782;3,6902;3,7198;3,5233;3,4121;3,3747;3,4387;3,4601;3,3828;
korona norweska;NOK;1;0,4854;0,4862;0,4726;0,4611;0,4475;0,4432;0,4501;0,4575;0,4576;0,4539;0,4407;0,4269;
korona szwedzka;SEK;1;0,4597;0,4549;0,4506;0,4417;0,4332;0,4314;0,4418;0,4464;0,4480;0,4438;0,4298;0,4230;
kuna (Chorwacja);HRK;1;0,5803;0,5787;0,5783;0,5691;0,5655;0,5680;0,5716;0,5761;0,5723;0,5683;0,5602;0,5574;
lej rumuñski;RON;1;0,9702;0,9551;0,9437;0,9353;0,9234;0,9210;0,9273;0,9318;0,9286;0,9297;0,9131;0,9062;
lew (Bu³garia);BGN;1;2,2347;2,2035;2,1945;2,1671;2,1495;2,1517;2,1659;2,1814;2,1833;2,1816;2,1624;2,1483;
lira turecka;TRY;1;1,0973;1,1043;1,0947;1,0833;1,0655;1,0650;1,0329;1,0278;1,0318;0,9875;0,9265;0,9223;
nowy  izraelski szekel;ILS;1;1,0773;1,0854;1,0997;1,0836;1,0586;1,0612;1,0379;1,0034;1,0139;1,0337;1,0241;1,0133;
peso  chilijskie;CLP;100;0,6220;0,6297;0,6076;0,6036;0,5669;0,5634;0,5589;0,5606;0,5730;0,5763;0,5690;0,5580;
peso filipiñskie;PHP;1;0,0828;0,0810;0,0800;0,0794;0,0764;0,0752;0,0727;0,0709;0,0702;0,0706;0,0708;0,0705;
peso meksykañskie;MXN;1;0,1923;0,1994;0,2075;0,2110;0,2026;0,2064;0,2063;0,2027;0,2009;0,1932;0,1901;0,1852;
rand (Republika Po³udniowej Afryki);ZAR;1;0,3034;0,3067;0,3112;0,2943;0,2865;0,2908;0,2800;0,2724;0,2727;0,2649;0,2555;0,2701;
real (Brazylia);BRL;1;1,2855;1,3046;1,2828;1,2594;1,1851;1,1398;1,1462;1,1461;1,1427;1,1382;1,1053;1,0765;
ringgit (Malezja);MYR;1;0,9232;0,9114;0,9054;0,8984;0,8818;0,8768;0,8580;0,8435;0,8496;0,8584;0,8640;0,8703;
rubel rosyjski;RUB;1;0,0687;0,0693;0,0693;0,0701;0,0666;0,0648;0,0616;0,0606;0,0621;0,0629;0,0611;0,0606;
rupia indonezyjska;IDR;10000;3,0789;3,0360;3,0107;2,9738;2,8576;2,8185;2,7580;2,7075;2,6908;2,6837;2,6643;2,6171;
rupia  indyjska;INR;100;6,0447;6,0416;6,0950;6,1284;5,9086;5,8192;5,7096;5,6460;5,5562;5,5766;5,5541;5,5214;
won po³udniowokoreañski;KRW;100;0,3484;0,3541;0,3537;0,3489;0,3379;0,3316;0,3245;0,3189;0,3162;0,3202;0,3270;0,3276;
yuan renminbi (Chiny);CNY;1;0,5971;0,5892;0,5825;0,5741;0,5528;0,5507;0,5434;0,5414;0,5455;0,5478;0,5440;0,5383;
SDR (MFW);XDR;1;5,5637;5,4820;5,4474;5,3855;5,2363;5,1907;5,1399;5,1025;5,0915;5,1127;5,0836;5,0220;
