waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1121;0,1129;0,1168;0,1148;0,1091;0,1100;0,1100;0,1064;0,1042;0,1059;0,1106;0,1094;
dolar amerykañski;USD;1;3,6739;3,6766;3,8138;3,7347;3,6520;3,7103;3,7734;3,7685;3,7513;3,7807;3,9571;3,9417;
dolar australijski;AUD;1;2,9670;2,8651;2,9490;2,8825;2,8817;2,8630;2,7989;2,7500;2,6500;2,7254;2,8324;2,8567;
dolar Hongkongu;HKD;1;0,4738;0,4741;0,4916;0,4818;0,4711;0,4786;0,4868;0,4861;0,4840;0,4879;0,5106;0,5086;
dolar kanadyjski;CAD;1;3,0464;2,9408;3,0260;3,0189;3,0029;3,0027;2,9412;2,8694;2,8315;2,8937;2,9825;2,8788;
dolar nowozelandzki;NZD;1;2,8100;2,7388;2,8461;2,8291;2,6994;2,5900;2,5083;2,4679;2,3776;2,5304;2,5986;2,6582;
dolar singapurski;SGD;1;2,7495;2,7136;2,7687;2,7664;2,7392;2,7568;2,7736;2,6972;2,6532;2,6997;2,8002;2,8001;
euro;EUR;1;4,2797;4,1776;4,1278;4,0291;4,0783;4,1597;4,1540;4,1936;4,2169;4,2460;4,2503;4,2905;
forint (Wêgry);HUF;100;1,3520;1,3618;1,3608;1,3441;1,3326;1,3330;1,3335;1,3465;1,3467;1,3654;1,3617;1,3638;
frank szwajcarski;CHF;1;3,9273;3,9322;3,8912;3,8812;3,9211;3,9817;3,9627;3,8929;3,8605;3,9037;3,9236;3,9623;
funt szterling;GBP;1;5,5758;5,6330;5,7114;5,5707;5,6554;5,7740;5,8709;5,8747;5,7626;5,7993;6,0144;5,9119;
hrywna (Ukraina);UAH;1;0,2351;0,1536;0,1638;0,1642;0,1713;0,1749;0,1737;0,1737;0,1721;0,1726;0,1692;0,1673;
jen (Japonia);JPY;100;3,1023;3,1019;3,1678;3,1228;3,0267;2,9996;3,0591;3,0575;3,1244;3,1506;3,2307;3,2394;
korona czeska;CZK;1;0,1536;0,1513;0,1507;0,1468;0,1488;0,1524;0,1533;0,1551;0,1557;0,1566;0,1572;0,1587;
korona duñska;DKK;1;0,5752;0,5609;0,5535;0,5396;0,5466;0,5576;0,5567;0,5619;0,5652;0,5692;0,5698;0,5750;
korona islandzka;ISK;100;2,7979;2,7852;2,7861;2,7435;2,7576;2,8032;2,8169;2,8544;2,9293;2,9896;3,0178;3,0347;
korona norweska;NOK;1;0,4786;0,4845;0,4781;0,4721;0,4849;0,4749;0,4653;0,4572;0,4531;0,4573;0,4585;0,4543;
korona szwedzka;SEK;1;0,4540;0,4403;0,4467;0,4318;0,4387;0,4486;0,4429;0,4411;0,4489;0,4543;0,4563;0,4640;
kuna (Chorwacja);HRK;1;0,5567;0,5418;0,5398;0,5306;0,5395;0,5493;0,5476;0,5549;0,5557;0,5570;0,5588;0,5616;
lej rumuñski;RON;1;0,9538;0,9426;0,9308;0,9128;0,9180;0,9313;0,9354;0,9484;0,9536;0,9603;0,9563;0,9528;
lew (Bu³garia);BGN;1;2,1882;2,1360;2,1105;2,0601;2,0852;2,1268;2,1239;2,1441;2,1561;2,1709;2,1732;2,1937;
lira turecka;TRY;1;1,5747;1,4945;1,4715;1,4047;1,3818;1,3733;1,4000;1,3228;1,2448;1,2921;1,3752;1,3494;
nowy  izraelski szekel;ILS;1;0,9320;0,9445;0,9528;0,9475;0,9463;0,9696;0,9958;0,9813;0,9598;0,9780;1,0177;1,0165;
peso  chilijskie;CLP;100;0,5928;0,5901;0,6068;0,6078;0,6013;0,5885;0,5818;0,5488;0,5439;0,5523;0,5619;0,5600;
peso filipiñskie;PHP;1;0,0824;0,0832;0,0857;0,0841;0,0819;0,0824;0,0834;0,0815;0,0803;0,0816;0,0841;0,0835;
peso meksykañskie;MXN;1;0,2499;0,2466;0,2503;0,2455;0,2394;0,2398;0,2370;0,2278;0,2232;0,2280;0,2379;0,2311;
rand (Republika Po³udniowej Afryki);ZAR;1;0,3175;0,3177;0,3161;0,3106;0,3057;0,3014;0,3036;0,2923;0,2756;0,2803;0,2801;0,2628;
real (Brazylia);BRL;1;1,3961;1,3105;1,2170;1,2248;1,1995;1,1919;1,1770;1,0774;0,9688;0,9756;1,0470;1,0200;
ringgit (Malezja);MYR;1;1,0256;1,0220;1,0360;1,0253;1,0154;0,9926;0,9930;0,9356;0,8716;0,8889;0,9178;0,9215;
rubel rosyjski;RUB;1;0,0575;0,0572;0,0635;0,0709;0,0720;0,0679;0,0659;0,0576;0,0562;0,0600;0,0608;0,0564;
rupia indonezyjska;IDR;10000;2,9090;2,8811;2,9162;2,8889;2,7906;2,7851;2,8232;2,7722;2,6048;2,7457;2,8940;2,8494;
rupia  indyjska;INR;100;5,9089;5,9261;6,0998;5,9704;5,7288;5,8122;5,9322;5,7940;5,6720;5,8077;5,9817;5,9247;
won po³udniowokoreañski;KRW;100;0,3373;0,3340;0,3423;0,3437;0,3345;0,3332;0,3295;0,3198;0,3167;0,3302;0,3429;0,3358;
yuan renminbi (Chiny);CNY;1;0,5863;0,5886;0,6108;0,6033;0,5890;0,5973;0,6077;0,5953;0,5891;0,5954;0,6211;0,6110;
SDR (MFW);XDR;1;5,2140;5,1985;5,2703;5,1726;5,1353;5,2091;5,2727;5,2886;5,2820;5,3134;5,4652;5,4707;
