waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
³at ³otewski;LVL;1;5,9287;5,9637;5,9298;5,9109;5,9639;6,1080;6,0865;6,0193;6,0313;5,9631;5,9586;5,9427;
lit litewski;LTL;1;1,1981;1,2087;1,2043;1,1993;1,2094;1,2415;1,2383;1,2249;1,2273;1,2137;1,2130;1,2094;
bat (Tajlandia);THB;1;0,1035;0,1046;0,1086;0,1094;0,1080;0,1056;0,1050;0,1006;0,1002;0,0984;0,0981;0,0941;
dolar amerykañski;USD;1;3,1145;3,1197;3,2058;3,1825;3,2149;3,2512;3,2688;3,1767;3,1750;3,0704;3,0998;3,0481;
dolar australijski;AUD;1;3,2684;3,2196;3,3145;3,3063;3,1840;3,0656;2,9984;2,8686;2,9425;2,9227;2,8931;2,7359;
dolar Hongkongu;HKD;1;0,4018;0,4023;0,4133;0,4100;0,4142;0,4190;0,4214;0,4096;0,4095;0,3960;0,3998;0,3931;
dolar kanadyjski;CAD;1;3,1405;3,0962;3,1278;3,1248;3,1504;3,1514;3,1412;3,0524;3,0634;2,9629;2,9549;2,8637;
dolar nowozelandzki;NZD;1;2,6042;2,6191;2,6552;2,6988;2,6504;2,5712;2,5812;2,5142;2,5819;2,5620;2,5614;2,5019;
dolar singapurski;SGD;1;2,5362;2,5191;2,5732;2,5712;2,5746;2,5808;2,5776;2,4969;2,5120;2,4691;2,4857;2,4199;
euro;EUR;1;4,1369;4,1734;4,1581;4,1409;4,1759;4,2865;4,2756;4,2295;4,2376;4,1908;4,1882;4,1757;
forint (Wêgry);HUF;100;1,4083;1,4262;1,3733;1,3845;1,4257;1,4493;1,4501;1,4130;1,4134;1,4216;1,4080;1,3919;
frank szwajcarski;CHF;1;3,3679;3,3924;3,3908;3,3946;3,3653;3,4775;3,4582;3,4276;3,4349;3,4033;3,3996;3,4088;
funt szterling;GBP;1;4,9763;4,8392;4,8396;4,8728;4,9196;5,0276;4,9632;4,9205;5,0300;4,9448;4,9919;4,9930;
hrywna (Ukraina);UAH;1;0,3845;0,3835;0,3941;0,3916;0,3955;0,3988;0,3972;0,3911;0,3888;0,3753;0,3789;0,3708;
jen (Japonia);JPY;100;3,4995;3,3555;3,3854;3,2518;3,1908;3,3341;3,2821;3,2429;3,1999;3,1420;3,1026;2,9453;
korona czeska;CZK;1;0,1620;0,1639;0,1621;0,1603;0,1613;0,1665;0,1649;0,1638;0,1644;0,1633;0,1561;0,1518;
korona duñska;DKK;1;0,5544;0,5594;0,5577;0,5554;0,5602;0,5748;0,5733;0,5671;0,5682;0,5618;0,5615;0,5597;
korona islandzka;ISK;100;2,4183;2,4423;2,5642;2,6757;2,6625;2,6700;2,6651;2,6565;2,6231;2,5449;2,5508;2,5990;
korona norweska;NOK;1;0,5605;0,5619;0,5551;0,5492;0,5524;0,5540;0,5426;0,5326;0,5316;0,5156;0,5099;0,4961;
korona szwedzka;SEK;1;0,4797;0,4902;0,4979;0,4905;0,4869;0,4942;0,4942;0,4859;0,4886;0,4790;0,4715;0,4657;
kuna chorwacka;HRK;1;0,5461;0,5501;0,5478;0,5444;0,5517;0,5721;0,5695;0,5613;0,5579;0,5501;0,5488;0,5468;
lej rumuñski;RON;1;0,9442;0,9516;0,9469;0,9453;0,9626;0,9579;0,9666;0,9537;0,9496;0,9428;0,9425;0,9360;
lew bu³garski;BGN;1;2,1152;2,1339;2,1260;2,1172;2,1351;2,1917;2,1861;2,1625;2,1667;2,1428;2,1414;2,1350;
lira turecka;TRY;1;1,7583;1,7573;1,7727;1,7703;1,7627;1,7140;1,6910;1,6212;1,5704;1,5458;1,5326;1,4754;
nowy  izraelski szekel;ILS;1;0,8329;0,8443;0,8709;0,8786;0,8857;0,8950;0,9063;0,8887;0,8897;0,8677;0,8773;0,8701;
peso  chilijskie;CLP;100;0,6595;0,6607;0,6785;0,6738;0,6704;0,6466;0,6471;0,6196;0,6291;0,6133;0,5975;0,5758;
peso filipiñskie;PHP;1;0,0765;0,0767;0,0787;0,0773;0,0778;0,0757;0,0754;0,0724;0,0726;0,0712;0,0712;0,0690;
peso meksykañskie;MXN;1;0,2453;0,2452;0,2560;0,2607;0,2618;0,2512;0,2566;0,2464;0,2426;0,2361;0,2372;0,2343;
rand (Republika Po³udniowej Afryki);ZAR;1;0,3548;0,3508;0,3489;0,3494;0,3446;0,3242;0,3296;0,3156;0,3175;0,3099;0,3046;0,2936;
real brazylijski;BRL;1;1,5319;1,5801;1,6136;1,5880;1,5837;1,4998;1,4549;1,3578;1,3967;1,4022;1,3549;1,2986;
ringgit malezyjski;MYR;1;1,0250;1,0069;1,0316;1,0443;1,0636;1,0352;1,0241;0,9694;0,9757;0,9673;0,9699;0,9369;
rubel rosyjski;RUB;1;0,1030;0,1034;0,1040;0,1016;0,1026;0,1005;0,0998;0,0962;0,0973;0,0957;0,0948;0,0927;
rupia indonezyjska;IDR;10000;3,2112;3,1977;3,2778;3,2791;3,2994;3,3084;3,2782;3,0199;2,8084;2,7014;2,7016;2,5262;
rupia  indyjska;INR;100;5,7366;5,7959;5,8932;5,8545;5,8555;5,5856;5,4662;5,0596;4,9764;4,9876;4,9554;4,9242;
won (Korea Po³udniowa);KRW;100;0,2923;0,2869;0,2907;0,2838;0,2890;0,2864;0,2903;0,2846;0,2929;0,2878;0,2919;0,2885;
yuan renminbi (Chiny);CNY;1;0,5006;0,5006;0,5158;0,5144;0,5235;0,5300;0,5328;0,5189;0,5187;0,5030;0,5087;0,5018;
SDR (MFW);XDR;1;4,7896;4,7672;4,8225;4,7872;4,8217;4,9250;4,9167;4,8245;4,8341;4,7309;4,7513;4,6919;
