waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1118;0,1111;0,1097;0,1083;0,1101;0,1110;0,1133;0,1105;0,1110;0,1115;0,1149;0,1175;
dolar amerykañski;USD;1;4,0397;3,9565;3,8644;3,7985;3,8991;3,9200;3,9707;3,8354;3,8567;3,9075;4,0600;4,2049;
dolar australijski;AUD;1;2,8432;2,8242;2,8948;2,9120;2,8531;2,8958;2,9892;2,9283;2,9255;2,9752;3,0621;3,0879;
dolar Hongkongu;HKD;1;0,5194;0,5084;0,4979;0,4897;0,5023;0,5050;0,5119;0,4945;0,4972;0,5037;0,5235;0,5420;
dolar kanadyjski;CAD;1;2,8483;2,8696;2,9183;2,9568;3,0157;3,0372;3,0467;2,9548;2,9480;2,9508;3,0188;3,1507;
dolar nowozelandzki;NZD;1;2,6484;2,6301;2,6008;2,6167;2,6527;2,7544;2,8336;2,7766;2,8200;2,7971;2,9049;2,9601;
dolar singapurski;SGD;1;2,8243;2,8189;2,8133;2,8132;2,8476;2,8915;2,9404;2,8464;2,8363;2,8242;2,8782;2,9293;
euro;EUR;1;4,3935;4,3960;4,2934;4,3068;4,4076;4,4019;4,3966;4,3003;4,3250;4,3086;4,3839;4,4371;
forint (Wêgry);HUF;100;1,3974;1,4181;1,3797;1,3821;1,4014;1,4022;1,3980;1,3855;1,4008;1,4034;1,4205;1,4208;
frank szwajcarski;CHF;1;4,0176;3,9895;3,9311;3,9389;3,9874;4,0374;4,0465;3,9549;3,9586;3,9615;4,0749;4,1256;
funt szterling;GBP;1;5,8377;5,6672;5,4954;5,4304;5,6650;5,5802;5,2275;5,0304;5,0783;4,8313;5,0419;5,2450;
hrywna (Ukraina);UAH;1;0,1656;0,1499;0,1468;0,1487;0,1547;0,1572;0,1598;0,1526;0,1470;0,1519;0,1580;0,1601;
jen (Japonia);JPY;100;3,4091;3,4563;3,4217;3,4637;3,5812;3,7161;3,8194;3,7899;3,7816;3,7670;3,7525;3,6240;
korona czeska;CZK;1;0,1626;0,1626;0,1587;0,1593;0,1630;0,1627;0,1626;0,1591;0,1600;0,1594;0,1622;0,1641;
korona duñska;DKK;1;0,5888;0,5891;0,5758;0,5786;0,5925;0,5919;0,5910;0,5779;0,5808;0,5790;0,5892;0,5967;
korona islandzka;ISK;100;3,1046;3,0879;3,0466;3,0666;3,1524;3,1724;3,2524;3,2492;3,3555;3,4171;3,6133;3,7365;
korona norweska;NOK;1;0,4583;0,4600;0,4551;0,4620;0,4736;0,4713;0,4690;0,4622;0,4697;0,4787;0,4828;0,4911;
korona szwedzka;SEK;1;0,4738;0,4676;0,4624;0,4677;0,4745;0,4716;0,4640;0,4533;0,4521;0,4443;0,4451;0,4567;
kuna (Chorwacja);HRK;1;0,5738;0,5758;0,5680;0,5747;0,5879;0,5854;0,5868;0,5744;0,5769;0,5740;0,5830;0,5886;
lej rumuñski;RON;1;0,9701;0,9813;0,9614;0,9629;0,9797;0,9731;0,9799;0,9642;0,9717;0,9591;0,9723;0,9820;
lew (Bu³garia);BGN;1;2,2464;2,2476;2,1952;2,2020;2,2536;2,2507;2,2479;2,1987;2,2113;2,2029;2,2415;2,2686;
lira turecka;TRY;1;1,3467;1,3454;1,3387;1,3388;1,3281;1,3422;1,3424;1,2948;1,3006;1,2710;1,2355;1,2031;
nowy  izraelski szekel;ILS;1;1,0242;1,0137;0,9991;1,0058;1,0231;1,0152;1,0299;1,0104;1,0243;1,0242;1,0564;1,0975;
peso  chilijskie;CLP;100;0,5609;0,5628;0,5676;0,5671;0,5716;0,5760;0,6032;0,5830;0,5768;0,5892;0,6107;0,6306;
peso filipiñskie;PHP;1;0,0851;0,0831;0,0829;0,0820;0,0833;0,0843;0,0844;0,0823;0,0811;0,0808;0,0824;0,0845;
peso meksykañskie;MXN;1;0,2244;0,2146;0,2188;0,2172;0,2153;0,2098;0,2136;0,2074;0,2014;0,2062;0,2022;0,2047;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2484;0,2514;0,2503;0,2599;0,2552;0,2595;0,2753;0,2795;0,2744;0,2798;0,2923;0,3031;
real (Brazylia);BRL;1;0,9973;0,9983;1,0445;1,0682;1,1058;1,1418;1,2115;1,1968;1,1873;1,2248;1,2171;1,2492;
ringgit (Malezja);MYR;1;0,9341;0,9468;0,9498;0,9738;0,9643;0,9595;0,9877;0,9525;0,9384;0,9362;0,9408;0,9434;
rubel rosyjski;RUB;1;0,0527;0,0513;0,0551;0,0571;0,0593;0,0600;0,0616;0,0591;0,0598;0,0624;0,0632;0,0678;
rupia indonezyjska;IDR;10000;2,9127;2,9298;2,9323;2,8840;2,9066;2,9357;3,0276;2,9147;2,9397;3,0003;3,0516;3,1346;
rupia  indyjska;INR;100;6,0044;5,7942;5,7671;5,7131;5,8264;5,8245;5,9092;5,7308;5,7781;5,8533;6,0089;6,1976;
won po³udniowokoreañski;KRW;100;0,3363;0,3252;0,3266;0,3312;0,3320;0,3351;0,3478;0,3451;0,3474;0,3469;0,3488;0,3550;
yuan renminbi (Chiny);CNY;1;0,6156;0,6041;0,5939;0,5864;0,5972;0,5947;0,5949;0,5767;0,5779;0,5808;0,5934;0,6073;
SDR (MFW);XDR;1;5,5864;5,5152;5,4038;5,3492;5,4973;5,5171;5,5227;5,3672;5,3947;5,4007;5,5405;5,6697;
