waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1243;0,1239;0,1256;0,1220;0,1192;0,1189;0,1182;0,1173;0,1173;0,1184;0,1232;0,1217;
dolar amerykañski;USD;1;3,7304;3,7196;3,8673;3,8212;3,7292;3,7375;3,8592;3,8835;3,8755;3,9607;4,0755;4,0834;
dolar australijski;AUD;1;2,8796;2,8840;2,9792;2,9386;2,8935;2,8563;2,8651;2,8340;2,8419;2,9299;2,9740;2,9231;
dolar Hongkongu;HKD;1;0,4812;0,4798;0,4980;0,4918;0,4803;0,4816;0,4966;0,4989;0,4982;0,5091;0,5232;0,5236;
dolar kanadyjski;CAD;1;2,9301;2,9297;3,0747;3,0529;3,0724;3,0584;3,0824;3,0808;3,0644;3,1816;3,2409;3,1921;
dolar nowozelandzki;NZD;1;2,6842;2,6938;2,7571;2,7192;2,6936;2,6571;2,6949;2,7073;2,7416;2,7914;2,8574;2,7720;
dolar singapurski;SGD;1;2,8133;2,8013;2,8795;2,8616;2,8044;2,8028;2,8487;2,8656;2,8779;2,9318;3,0021;2,9950;
euro;EUR;1;4,5435;4,4988;4,6007;4,5658;4,5301;4,5015;4,5630;4,5700;4,5664;4,5952;4,6508;4,6163;
forint (Wêgry);HUF;100;1,2634;1,2553;1,2576;1,2653;1,2796;1,2869;1,2778;1,2982;1,2965;1,2737;1,2762;1,2570;
frank szwajcarski;CHF;1;4,2090;4,1442;4,1573;4,1366;4,1305;4,1152;4,2033;4,2465;4,2043;4,2895;4,4221;4,4354;
funt szterling;GBP;1;5,0879;5,1556;5,3604;5,2832;5,2486;5,2410;5,3274;5,3570;5,3318;5,4192;5,4815;5,4351;
hrywna (Ukraina);UAH;1;0,1323;0,1335;0,1392;0,1369;0,1351;0,1374;0,1420;0,1450;0,1451;0,1502;0,1539;0,1501;
jen (Japonia);JPY;100;3,5960;3,5283;3,5555;3,5017;3,4175;3,3943;3,4987;3,5348;3,5188;3,5030;3,5773;3,5848;
korona czeska;CZK;1;0,1737;0,1738;0,1756;0,1759;0,1770;0,1769;0,1780;0,1794;0,1799;0,1802;0,1830;0,1827;
korona duñska;DKK;1;0,6108;0,6050;0,6187;0,6139;0,6092;0,6053;0,6135;0,6145;0,6141;0,6176;0,6253;0,6208;
korona islandzka;ISK;100;2,9060;2,8990;3,0332;3,0337;3,0288;3,0642;3,1032;3,0808;3,0298;3,0679;3,1173;3,1380;
korona norweska;NOK;1;0,4381;0,4375;0,4533;0,4544;0,4493;0,4437;0,4397;0,4381;0,4483;0,4673;0,4662;0,4552;
korona szwedzka;SEK;1;0,4502;0,4461;0,4524;0,4489;0,4465;0,4450;0,4474;0,4472;0,4489;0,4569;0,4626;0,4496;
kuna (Chorwacja);HRK;1;0,6008;0,5941;0,6071;0,6033;0,6022;0,6005;0,6083;0,6096;0,6094;0,6117;0,6186;0,6138;
lej rumuñski;RON;1;0,9324;0,9228;0,9414;0,9276;0,9197;0,9142;0,9263;0,9282;0,9231;0,9285;0,9397;0,9327;
lew (Bu³garia);BGN;1;2,3230;2,3002;2,3523;2,3345;2,3162;2,3016;2,3330;2,3366;2,3347;2,3495;2,3779;2,3603;
lira turecka;TRY;1;0,5047;0,5251;0,5049;0,4688;0,4454;0,4341;0,4486;0,4575;0,4534;0,4300;0,3838;0,3016;
nowy izraelski szekel;ILS;1;1,1553;1,1363;1,1678;1,1644;1,1436;1,1494;1,1804;1,2038;1,2091;1,2329;1,3056;1,3041;
peso chilijskie;CLP;100;0,5168;0,5149;0,5333;0,5395;0,5236;0,5130;0,5134;0,4979;0,4942;0,4865;0,5009;0,4811;
peso filipiñskie;PHP;1;0,0776;0,0771;0,0796;0,0789;0,0778;0,0776;0,0771;0,0773;0,0772;0,0781;0,0810;0,0812;
peso meksykañskie;MXN;1;0,1873;0,1832;0,1861;0,1904;0,1867;0,1867;0,1932;0,1935;0,1936;0,1934;0,1950;0,1952;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2473;0,2519;0,2579;0,2648;0,2649;0,2687;0,2659;0,2623;0,2665;0,2665;0,2622;0,2573;
real (Brazylia);BRL;1;0,6996;0,6871;0,6866;0,6852;0,7039;0,7428;0,7493;0,7387;0,7373;0,7152;0,7343;0,7223;
ringgit (Malezja);MYR;1;0,9239;0,9191;0,9407;0,9267;0,9039;0,9039;0,9186;0,9204;0,9304;0,9513;0,9749;0,9696;
rubel rosyjski;RUB;1;0,0500;0,0500;0,0519;0,0502;0,0504;0,0515;0,0522;0,0528;0,0532;0,0555;0,0559;0,0554;
rupia indonezyjska;IDR;10000;2,6593;2,6484;2,6884;2,6293;2,6069;2,6083;2,6618;2,6993;2,7200;2,7939;2,8570;2,8503;
rupia indyjska;INR;100;5,1029;5,1066;5,3139;5,1308;5,0920;5,0793;5,1765;5,2359;5,2696;5,2914;5,3429;5,3558;
won po³udniowokoreañski;KRW;100;0,3393;0,3344;0,3420;0,3417;0,3323;0,3331;0,3371;0,3342;0,3307;0,3351;0,3441;0,3448;
yuan renminbi (Chiny);CNY;1;0,5761;0,5757;0,5941;0,5856;0,5799;0,5818;0,5962;0,5996;0,6003;0,6166;0,6379;0,6412;
SDR (MFW);XDR;1;5,3837;5,3539;5,5148;5,4621;5,3731;5,3607;5,4934;5,5191;5,5131;5,5957;5,7194;5,7086;
