waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1182;0,1214;0,1200;0,1197;0,1207;0,1214;0,1232;0,1270;0,1294;0,1283;0,1281;0,1273;
dolar amerykañski;USD;1;3,7617;3,8023;3,8052;3,8145;3,8393;3,7811;3,7959;3,9067;3,9535;3,8935;3,8745;3,8443;
dolar australijski;AUD;1;2,6862;2,7138;2,6942;2,7148;2,6678;2,6246;2,6528;2,6455;2,6910;2,6456;2,6463;2,6462;
dolar Hongkongu;HKD;1;0,4797;0,4845;0,4848;0,4862;0,4892;0,4831;0,4860;0,4983;0,5046;0,4965;0,4950;0,4926;
dolar kanadyjski;CAD;1;2,8247;2,8768;2,8496;2,8510;2,8526;2,8419;2,8992;2,9444;2,9842;2,9506;2,9273;2,9187;
dolar nowozelandzki;NZD;1;2,5469;2,5973;2,5985;2,5625;2,5213;2,4927;2,5374;2,5128;2,5076;2,4671;2,4791;2,5348;
dolar singapurski;SGD;1;2,7726;2,8085;2,8100;2,8131;2,8018;2,7724;2,7891;2,8212;2,8652;2,8399;2,8451;2,8334;
euro;EUR;1;4,2954;4,3157;4,2996;4,2874;4,2965;4,2660;4,2598;4,3437;4,3547;4,3025;4,2843;4,2721;
forint (Wêgry);HUF;100;1,3423;1,3569;1,3602;1,3352;1,3220;1,3216;1,3094;1,3292;1,3098;1,2980;1,2846;1,2915;
frank szwajcarski;CHF;1;3,8033;3,7975;3,8019;3,7860;3,7978;3,8200;3,8442;3,9844;3,9919;3,9180;3,9020;3,9087;
funt szterling;GBP;1;4,8440;4,9378;5,0093;4,9707;4,9360;4,7900;4,7381;4,7447;4,8812;4,9157;4,9918;5,0394;
hrywna (Ukraina);UAH;1;0,1348;0,1403;0,1417;0,1427;0,1455;0,1429;0,1479;0,1548;0,1602;0,1567;0,1593;0,1630;
jen (Japonia);JPY;100;3,4527;3,4481;3,4220;3,4153;3,4894;3,4972;3,5080;3,6731;3,6787;3,6020;3,5587;3,5204;
korona czeska;CZK;1;0,1675;0,1678;0,1675;0,1670;0,1668;0,1666;0,1668;0,1684;0,1684;0,1674;0,1678;0,1676;
korona duñska;DKK;1;0,5754;0,5783;0,5761;0,5743;0,5754;0,5713;0,5706;0,5822;0,5834;0,5760;0,5734;0,5717;
korona islandzka;ISK;100;3,1484;3,1704;3,1720;3,1672;3,1277;3,0330;3,0439;3,1569;3,1635;3,1272;3,1340;3,1493;
korona norweska;NOK;1;0,4396;0,4428;0,4423;0,4456;0,4396;0,4375;0,4410;0,4358;0,4384;0,4254;0,4232;0,4260;
korona szwedzka;SEK;1;0,4184;0,4112;0,4094;0,4091;0,4003;0,4015;0,4035;0,4047;0,4071;0,3985;0,4020;0,4078;
kuna (Chorwacja);HRK;1;0,5782;0,5821;0,5794;0,5772;0,5792;0,5758;0,5764;0,5879;0,5884;0,5787;0,5759;0,5742;
lej rumuñski;RON;1;0,9136;0,9090;0,9046;0,9012;0,9026;0,9024;0,9008;0,9186;0,9191;0,9051;0,8984;0,8940;
lew (Bu³garia);BGN;1;2,1962;2,2066;2,1984;2,1921;2,1968;2,1812;2,1780;2,2209;2,2265;2,1998;2,1906;2,1843;
lira turecka;TRY;1;0,7001;0,7208;0,6944;0,6609;0,6339;0,6492;0,6689;0,6924;0,6921;0,6727;0,6755;0,6572;
nowy izraelski szekel;ILS;1;1,0191;1,0483;1,0517;1,0613;1,0690;1,0505;1,0709;1,1125;1,1232;1,1076;1,1117;1,1062;
peso chilijskie;CLP;100;0,5555;0,5790;0,5690;0,5719;0,5560;0,5460;0,5537;0,5481;0,5507;0,5402;0,5003;0,5003;
peso filipiñskie;PHP;1;0,0717;0,0729;0,0725;0,0734;0,0735;0,0730;0,0743;0,0750;0,0760;0,0757;0,0764;0,0757;
peso meksykañskie;MXN;1;0,1958;0,1982;0,1977;0,2012;0,2009;0,1958;0,1992;0,1989;0,2018;0,2013;0,2008;0,2012;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2709;0,2758;0,2647;0,2698;0,2665;0,2586;0,2703;0,2584;0,2662;0,2612;0,2617;0,2671;
real (Brazylia);BRL;1;1,0032;1,0230;0,9933;0,9787;0,9616;0,9778;1,0048;0,9773;0,9586;0,9512;0,9361;0,9344;
ringgit (Malezja);MYR;1;0,9136;0,9320;0,9328;0,9270;0,9210;0,9084;0,9207;0,9333;0,9448;0,9298;0,9317;0,9272;
rubel rosyjski;RUB;1;0,0562;0,0577;0,0584;0,0590;0,0592;0,0589;0,0600;0,0595;0,0609;0,0605;0,0607;0,0612;
rupia indonezyjska;IDR;10000;2,6567;2,7104;2,6781;2,6995;2,6718;2,6560;2,7066;2,7468;2,8047;2,7588;2,7559;2,7454;
rupia indyjska;INR;100;5,3176;5,3375;5,4734;5,4935;5,5017;5,4426;5,5197;5,4978;5,5426;5,4805;5,4192;5,3990;
won po³udniowokoreañski;KRW;100;0,3354;0,3386;0,3360;0,3339;0,3245;0,3217;0,3224;0,3229;0,3310;0,3289;0,3317;0,3277;
yuan renminbi (Chiny);CNY;1;0,5541;0,5640;0,5669;0,5681;0,5604;0,5478;0,5519;0,5536;0,5559;0,5491;0,5519;0,5481;
SDR (MFW);XDR;1;5,2427;5,2904;5,2907;5,2946;5,3073;5,2375;5,2442;5,3599;5,4116;5,3421;5,3274;5,3054;
