waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
peso meksykañskie;MXN;1;0,2318;0,2303;0,2301;0,2318;0,2350;0,2343;0,2357;0,2392;0,2454;0,2461;0,2481;0,2358;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2822;0,2784;0,2830;0,2872;0,2922;0,2851;0,2870;0,2950;0,2959;0,2994;0,3046;0,2981;
real brazylijski;BRL;1;1,2873;1,2832;1,3064;1,3561;1,3693;1,3621;1,3764;1,3877;1,3956;1,3517;1,3291;1,2964;
ringgit malezyjski;MYR;1;0,9283;0,9246;0,9261;0,9306;0,9414;0,9452;0,9615;0,9902;1,0095;1,0143;1,0098;0,9850;
rubel rosyjski;RUB;1;0,0909;0,0868;0,0839;0,0849;0,0871;0,0884;0,0882;0,0870;0,0855;0,0811;0,0732;0,0609;
rupia indonezyjska;IDR;10000;2,5369;2,5696;2,6515;2,6502;2,6340;2,5602;2,6184;2,6805;2,7306;2,7304;2,7737;2,7630;
rupia  indyjska;INR;100;4,9393;4,9171;4,9829;5,0194;5,1244;5,0939;5,0958;5,1729;5,3350;5,4035;5,4739;5,4624;
won (Korea Po³udniowa);KRW;100;0,2876;0,2857;0,2839;0,2906;0,2967;0,2986;0,2998;0,3072;0,3137;0,3122;0,3078;0,3108;
yuan renminbi (Chiny);CNY;1;0,5065;0,5037;0,4922;0,4866;0,4875;0,4883;0,4935;0,5115;0,5291;0,5412;0,5514;0,5528;
SDR (MFW);XDR;1;4,7069;4,7165;4,7027;4,6885;4,7005;4,6915;4,7157;4,8061;4,8695;4,9310;4,9522;4,9911;
