waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
lit litewski;LTL;1;1,2099;1,2102;1,2156;1,2118;1,2103;1,1981;1,2004;1,2144;1,2135;1,2179;1,2197;1,2232;
bat (Tajlandia);THB;1;0,0931;0,0938;0,0939;0,0937;0,0935;0,0936;0,0953;0,0984;0,1009;0,1022;0,1030;0,1042;
dolar amerykañski;USD;1;3,0650;3,0613;3,0378;3,0293;3,0415;3,0425;3,0598;3,1482;3,2475;3,3152;3,3777;3,4287;
dolar australijski;AUD;1;2,7134;2,7434;2,7608;2,8225;2,8309;2,8507;2,8727;2,9296;2,9391;2,9101;2,9217;2,8255;
dolar Hongkongu;HKD;1;0,3951;0,3947;0,3915;0,3907;0,3923;0,3925;0,3948;0,4062;0,4189;0,4273;0,4356;0,4421;
dolar kanadyjski;CAD;1;2,8092;2,7676;2,7365;2,7550;2,7932;2,8091;2,8542;2,8827;2,9513;2,9567;2,9802;2,9719;
dolar nowozelandzki;NZD;1;2,5341;2,5370;2,5941;2,6068;2,6168;2,6250;2,6595;2,6572;2,6432;2,6116;2,6451;2,6621;
dolar singapurski;SGD;1;2,4084;2,4170;2,3980;2,4135;2,4297;2,4315;2,4621;2,5216;2,5713;2,6016;2,6062;2,6057;
euro;EUR;1;4,1776;4,1786;4,1972;4,1841;4,1790;4,1369;4,1447;4,1932;4,1901;4,2050;4,2115;4,2233;
forint (Wêgry);HUF;100;1,3844;1,3477;1,3480;1,3618;1,3722;1,3520;1,3377;1,3351;1,3380;1,3659;1,3721;1,3571;
frank szwajcarski;CHF;1;3,3935;3,4205;3,4471;3,4317;3,4244;3,3965;3,4114;3,4602;3,4695;3,4814;3,5011;3,5123;
funt szterling;GBP;1;5,0507;5,0658;5,0525;5,0720;5,1242;5,1464;5,2262;5,2590;5,2969;5,3283;5,3284;5,3605;
hrywna (Ukraina);UAH;1;0,3678;0,3449;0,3009;0,2584;0,2577;0,2565;0,2603;0,2461;0,2477;0,2567;0,2364;0,2213;
jen (Japonia);JPY;100;2,9460;2,9988;2,9708;2,9544;2,9873;2,9827;3,0089;3,0582;3,0264;3,0709;2,9125;2,8708;
korona czeska;CZK;1;0,1521;0,1522;0,1532;0,1524;0,1523;0,1507;0,1509;0,1508;0,1519;0,1525;0,1521;0,1529;
korona duñska;DKK;1;0,5599;0,5600;0,5623;0,5605;0,5599;0,5546;0,5559;0,5625;0,5628;0,5648;0,5659;0,5677;
korona islandzka;ISK;100;2,6475;2,6793;2,6913;2,6977;2,6992;2,6773;2,6778;2,7148;2,7274;2,7471;2,7337;2,7385;
korona norweska;NOK;1;0,4974;0,4990;0,5060;0,5069;0,5121;0,5036;0,4940;0,5079;0,5123;0,5064;0,4958;0,4694;
korona szwedzka;SEK;1;0,4725;0,4710;0,4734;0,4624;0,4629;0,4550;0,4489;0,4562;0,4557;0,4584;0,4559;0,4490;
kuna chorwacka;HRK;1;0,5473;0,5457;0,5482;0,5487;0,5502;0,5461;0,5444;0,5494;0,5496;0,5492;0,5492;0,5508;
lej rumuñski;RON;1;0,9244;0,9304;0,9344;0,9378;0,9444;0,9414;0,9399;0,9476;0,9504;0,9524;0,9509;0,9471;
lew bu³garski;BGN;1;2,1360;2,1365;2,1460;2,1393;2,1367;2,1152;2,1192;2,1440;2,1422;2,1500;2,1533;2,1593;
lira turecka;TRY;1;1,3817;1,3829;1,3710;1,4230;1,4536;1,4360;1,4440;1,4560;1,4684;1,4691;1,5121;1,4948;
nowy  izraelski szekel;ILS;1;0,8779;0,8710;0,8726;0,8719;0,8774;0,8809;0,8941;0,9011;0,8935;0,8901;0,8825;0,8718;
peso  chilijskie;CLP;100;0,5711;0,5532;0,5391;0,5460;0,5472;0,5500;0,5482;0,5430;0,5467;0,5625;0,5698;0,5597;
peso filipiñskie;PHP;1;0,0681;0,0683;0,0678;0,0680;0,0693;0,0694;0,0704;0,0719;0,0735;0,0740;0,0751;0,0768;
